SALE TYPE,HOME TYPE,ADDRESS,CITY,STATE,ZIP,LIST PRICE,BEDS,BATHS,LOCATION,SQFT,LOT SIZE,YEAR BUILT,PARKING SPOTS,PARKING TYPE,DAYS ON MARKET,STATUS,NEXT OPEN HOUSE DATE,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,RECENT REDUCTION DATE,ORIGINAL LIST PRICE,LAST SALE DATE,LAST SALE PRICE,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,LISTING ID,ORIGINAL SOURCE,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,IS SHORT SALE
Past Sale,Single Family Residential,831 Warner Ct,MOUNTAIN VIEW,CA,94043,1588000,4,3,MOUNTAIN VIEW,2329,3548,2008,2,Garage,,Sold,,,,,1588000,2015-04-06,1600000,http://www.redfin.com/CA/Mountain-View/831-Warner-Ct-94043/home/12179508,MLSListings Inc. (MLSLI),ML81456943,Intero Real Estate Services,N,Y,37.416145,-122.096068,false
Past Sale,Single Family Residential,77 CHURCH St,Mountain View,CA,94041,1050000,3,1.5,Mountain View,1117,14874,1955,2,Garage,,Sold,,,,,1050000,2013-09-17,1050000,http://www.redfin.com/CA/Mountain-View/77-Church-St-94041/home/547405,MLSListings Inc. (MLSLI),ML81330320,Century 21 Realty Alliance,N,Y,37.384157,-122.07435,false
Past Sale,Single Family Residential,173 Granada Dr,Mountain View,CA,94043,,3,2,94043,1394,,1984,,,,,,,,,,2015-04-17,1300000,http://www.redfin.com/CA/Mountain-View/173-Granada-Dr-94043/home/614019,,,,N,Y,37.399358,-122.085649,
Past Sale,Single Family Residential,13091 Lorene Ct,Mountain View,CA,94040,,3,2,94040,1442,,1955,,,,,,,,,,2015-04-21,2402000,http://www.redfin.com/CA/Mountain-View/13091-Lorene-Ct-94040/home/1696979,,,,N,Y,37.368249,-122.069609,
Past Sale,Single Family Residential,1298 Cuernavaca Circulo,Mountain View,CA,94040,,3,2,94040,1535,,1986,,,,,,,,,,2015-04-21,1250000,http://www.redfin.com/CA/Mountain-View/1298-Cuernavaca-Circulo-94040/home/894626,,,,N,Y,37.371341,-122.060996,
Past Sale,Single Family Residential,651 Mccarty Ave,Mountain View,CA,94041,,4,2,94041,1761,,1955,,,,,,,,,,2013-11-22,1095000,http://www.redfin.com/CA/Mountain-View/651-Mccarty-Ave-94041/home/1683697,,,,N,Y,37.384348,-122.070219,
Past Sale,Single Family Residential,1773 Vassar Ave,Mountain View,CA,94043,,3,1,94043,1202,,1950,,,,,,,,,,2014-06-11,960500,http://www.redfin.com/CA/Mountain-View/1773-Vassar-Ave-94043/home/593207,,,,N,Y,37.402472,-122.087599,
Past Sale,Single Family Residential,1748 Walnut Dr,Mountain View,CA,94040,,3,2,94040,1280,,1955,,,,,,,,,,2015-04-21,1200000,http://www.redfin.com/CA/Mountain-View/1748-Walnut-Dr-94040/home/1467269,,,,N,Y,37.372057,-122.092661,
Past Sale,Single Family Residential,240 Pine Way (Unable to map),Mountain View,CA,94041,,3,3.5,94041,1764,,2012,,,,,,,,,,2015-04-22,1850000,http://www.redfin.com/CA/Mountain-View/240-Pine-Way-94041/home/52671757,,,,N,Y,37.3918,-122.0761,
Past Sale,Single Family Residential,65 Paul Ave,Mountain View,CA,94041,,3,2,94041,1419,,1955,,,,,,,,,,2013-12-12,1040000,http://www.redfin.com/CA/Mountain-View/65-Paul-Ave-94041/home/1431752,,,,N,Y,37.384678,-122.07108,
